timestamp,chain_atomone,marketPrice_atomone,marketVolume_atomone,txCount_atomone,chain_cosmos,marketPrice_cosmos,marketVolume_cosmos,txCount_cosmos
2025-08-18 23:33:20+00:00,atomone,0.31542,13.09324457,68.58736059,cosmos,4.47,88.37214478,126.5448113
2025-08-20 00:33:20+00:00,atomone,0.299762,12.99256402,65.52708444,cosmos,4.29,86.3256989,112.7113015
2025-08-20 22:46:40+00:00,atomone,0.321307,12.12197404,68.03554833,cosmos,4.47,83.01866139,113.2934636
2025-08-21 23:46:40+00:00,atomone,0.277859,16.28809145,67.80901487,cosmos,4.42,77.62544916,114.5860007
2025-08-23 00:46:40+00:00,atomone,0.325932,19.77138145,67.87705789,cosmos,4.83,78.74627543,119.2934155
2025-08-23 23:00:00+00:00,atomone,0.229272,23.86894015,66.75766729,cosmos,4.88,83.18341823,118.1755391
2025-08-25 00:00:00+00:00,atomone,0.258431,25.03185057,66.68215613,cosmos,4.79,89.10486359,116.559973
2025-08-26 01:00:00+00:00,atomone,0.198098,30.63157934,67.31943707,cosmos,4.42,101.1433076,114.5754717
2025-08-26 23:13:20+00:00,atomone,0.228611,29.92109109,66.67634758,cosmos,4.53,100.4609423,112.4915768
2025-08-28 00:13:20+00:00,atomone,0.229633,35.55442127,65.77934148,cosmos,4.49,104.36799,111.932037
2025-08-29 01:13:20+00:00,atomone,0.245791,32.91150825,62.38050982,cosmos,4.8,106.3444084,105.1906045
2025-08-29 23:26:40+00:00,atomone,0.228431,30.61783151,62.14567844,cosmos,4.49,105.7573357,101.7014825
2025-08-31 00:26:40+00:00,atomone,0.217416,26.20608711,64.52469464,cosmos,4.5,91.52965315,94.15527532
2025-08-31 22:40:00+00:00,atomone,0.208634,24.40237901,65.49140335,cosmos,4.47,86.03397885,94.10798518
2025-09-01 23:40:00+00:00,atomone,0.190559,24.65584235,65.5901487,cosmos,4.38,83.90783931,89.40700809
2025-09-03 00:40:00+00:00,atomone,0.188676,18.24496743,68.75995751,cosmos,4.43,70.2997769,82.34693878
2025-09-03 22:53:20+00:00,atomone,0.176535,18.91485814,69.16240706,cosmos,4.52,69.15073904,81.32749326
2025-09-04 23:53:20+00:00,atomone,0.183738,20.6481136,72.09572491,cosmos,4.4,68.94154036,86.18640499
2025-09-06 00:53:20+00:00,atomone,0.190696,18.01796927,75.86962294,cosmos,4.44,63.8038709,92.84896034
2025-09-06 23:06:40+00:00,atomone,0.196267,16.74901161,75.58085502,cosmos,4.41,60.8710887,91.8400438
2025-09-08 00:06:40+00:00,atomone,0.201994,15.78934922,73.81173659,cosmos,4.49,63.40259549,91.94599538
2025-09-09 01:06:40+00:00,atomone,0.214228,15.46518501,74.87387148,cosmos,4.54,62.82496784,92.48315364
2025-09-09 23:20:00+00:00,atomone,0.221895,15.31192784,74.9302974,cosmos,4.59,65.66453008,93.53647237
2025-09-11 00:20:00+00:00,atomone,0.220085,14.01821845,72.40440786,cosmos,4.68,69.02774999,100.8418367
2025-09-12 01:20:00+00:00,atomone,0.208134,11.19907247,69.37732342,cosmos,4.69,68.26341123,98.41066615
2025-09-12 23:33:20+00:00,atomone,0.249849,19.6231276,68.16333643,cosmos,4.75,67.89211565,99.04228437
2025-09-14 00:33:20+00:00,atomone,0.234811,23.04772828,66.97424323,cosmos,4.83,73.93977814,97.47015787
2025-09-14 22:46:40+00:00,atomone,0.239439,22.19598062,65.92123606,cosmos,4.64,72.65707697,96.66231469
2025-09-15 23:46:40+00:00,atomone,0.224372,23.04119934,64.88731413,cosmos,4.5,75.80301794,100.4973888
2025-09-17 00:46:40+00:00,atomone,0.212732,25.44438874,59.66542751,cosmos,4.55,74.50411247,101.3481902
2025-09-17 23:00:00+00:00,atomone,0.24002,24.53186907,59.68285316,cosmos,4.61,74.29447118,101.1611354
2025-09-19 00:00:00+00:00,atomone,0.226645,26.1703009,58.41078067,cosmos,4.68,73.02701216,102.6878369
2025-09-20 01:00:00+00:00,atomone,0.222431,17.39722525,57.20924057,cosmos,4.48,76.13090437,104.3824605
2025-09-20 23:13:20+00:00,atomone,0.222683,16.62267833,57.28973048,cosmos,4.45,72.74208016,106.6543127
2025-09-22 00:13:20+00:00,atomone,0.217495,14.90459931,58.11869357,cosmos,4.41,69.43636774,119.079226
2025-09-23 01:13:20+00:00,atomone,0.190988,17.11138864,56.1802974,cosmos,4.16,73.92568278,120.7412399
2025-09-23 23:26:40+00:00,atomone,0.186931,16.17513584,55.69818773,cosmos,4.13,71.42121523,119.1564185
2025-09-25 00:26:40+00:00,atomone,0.1789,15.26261655,54.8393521,cosmos,4.15,67.3400705,122.9813246
2025-09-25 22:40:00+00:00,atomone,0.172083,16.71149364,54.18796468,cosmos,4.01,69.42189915,119.0140667
2025-09-26 23:40:00+00:00,atomone,0.209023,15.94995798,56.46491636,cosmos,4.11,67.97219113,113.1890162
2025-09-28 00:40:00+00:00,atomone,0.34008,41.88273385,65.63329793,cosmos,4.12,67.04391775,105.6955141
2025-09-28 22:53:20+00:00,atomone,0.505897,86.77834098,79.48420074,cosmos,4.18,64.45100221,102.5353774
2025-09-29 23:53:20+00:00,atomone,0.923579,399.0472301,92.94261152,cosmos,4.12,65.23691741,95.42537062
2025-10-01 00:53:20+00:00,atomone,1.37,660.1556013,277.2105682,cosmos,4.1,61.09862947,96.96572969
2025-10-01 23:06:40+00:00,atomone,6.07,5562.187357,316.6008364,cosmos,4.12,75.02867217,104.0052224
2025-10-03 00:06:40+00:00,atomone,1.086,6825.356595,369.31094,cosmos,4.3,83.21608342,110.0996342
2025-10-04 01:06:40+00:00,atomone,0.711965,6921.982796,375.3584705,cosmos,4.29,86.51391257,115.5217559
2025-10-04 23:20:00+00:00,atomone,0.674981,6071.55701,341.4730483,cosmos,4.14,83.6348557,117.3041611
2025-10-06 00:20:00+00:00,atomone,0.773694,6878.300961,376.4471588,cosmos,4.15,93.88418842,130.1742395
2025-10-07 01:20:00+00:00,atomone,1.85,6753.519555,390.460701,cosmos,4.27,96.52457421,130.0399499
2025-10-07 23:33:20+00:00,atomone,2.49,6399.468673,359.8977695,cosmos,4.06,97.13274639,125.0374832
2025-10-09 00:33:20+00:00,atomone,1.72,1563.618379,158.0124801,cosmos,4.17,86.57489668,114.4768002
2025-10-09 22:46:40+00:00,atomone,1.96,1463.765751,163.365474,cosmos,4.06,84.39004703,115.9446597
2025-10-10 23:46:40+00:00,atomone,2.04,1385.366366,160.4321561,cosmos,2.99,97.18189158,122.0329346
2025-10-12 00:46:40+00:00,atomone,2.03,1531.211623,167.9899097,cosmos,3.15,116.4537938,123.5714286
2025-10-12 23:00:00+00:00,atomone,2.01,1367.633565,165.044145,cosmos,3.48,114.3359349,122.2919474
2025-10-14 00:00:00+00:00,atomone,2.39,1419.569388,159.1252323,cosmos,3.64,115.6095559,117.4570418
2025-10-15 01:00:00+00:00,atomone,2.84,903.1081901,153.5515135,cosmos,3.48,119.484679,119.998556
2025-10-15 23:13:20+00:00,atomone,3.32,920.9849838,154.8152881,cosmos,3.33,113.1540374,114.0170148
2025-10-17 00:13:20+00:00,atomone,2.73,906.0303298,156.2466808,cosmos,3.25,120.1327053,108.2065845
2025-10-18 01:13:20+00:00,atomone,3.07,596.7815689,169.3773234,cosmos,3.16,98.95901222,95.0625722
2025-10-18 23:26:40+00:00,atomone,2.95,578.3004133,174.4656134,cosmos,3.18,91.22340691,93.92351752
2025-10-20 00:26:40+00:00,atomone,2.28,664.5116327,190.7218092,cosmos,3.23,71.3146788,84.90453729
